state,lga,facilityname,datimcode
BENUE,TARKA,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center-Uchi,UbFbAGiSBNv
BENUE,TARKA,St. Christopher Health Clinic-Wannune,zJseTdMM6Ph
BENUE,TARKA,St. Michaels Clinic,SNb8IS5SukA
BENUE,TARKA,Tiortyu Local Government Health Center,nV2DKeGv8AQ
BENUE,TARKA,Township Clinic-Wannune,RlGe0zMvrra
BENUE,TARKA,Tse-Akiishi Primary Health Center,jUXd98nF6tO
BENUE,TARKA,Tse-Tiah Primary Health Centre,ZTPVFq6u1nN
BENUE,TARKA,Wannune General Hospital,tCLZNcfcMy3
BENUE,UKUM,Afia Comprehensive Health Center,rU0owasuzGp
BENUE,UKUM,Asambe Primary Health Center,AptnTvyenuo
BENUE,UKUM,Aterayange Comprehensive Health Center,yoiyriXtW1G
BENUE,UKUM,Ayati Primary Health Center,Oexe9zs1Ehb
BENUE,UKUM,Chito Local Government Health Center,xHCRTxh1UoC
BENUE,UKUM,Hwembe Comprehensive Health Center,JKhF15NVQ8N
BENUE,UKUM,Iorna Clinic,vdABjhoRp53
BENUE,UKUM,Jordan Clinic and Maternity,Ki7oL3P60Gk
BENUE,UKUM,KAFE CLINIC,Ikw1ubU63ji
BENUE,UKUM,King of Kings Clinic and Maternity,r0E0bUsIjrC
BENUE,UKUM,Kyado Primary Health Center,ZHUzBV58GYR
BENUE,UKUM,Melabu Comprehensive Health Center,XP2njsDoK3u
BENUE,UKUM,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital- Zaki Biam,vDwjnLtvE9E
BENUE,UKUM,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center-Pervkyaa,AUxnTCxG8Hn
BENUE,UKUM,Salvation Hospital,kOmUbf3xx0o
BENUE,UKUM,Sankera Family Support Program Clinic,EGG0mUGRKdC
BENUE,UKUM,Sankera General Hospital,qk2SW3ifeyo
BENUE,UKUM,St. Anthony's Hospital-Zaki Biam,UwPzLQbX6z0
BENUE,UKUM,St. Mary Primary Health Center-Chito,ROzMKxCUG62
BENUE,UKUM,Vaase Local Government Health Center,PYkGrLe6kRy
BENUE,UKUM,Woma Clinic and Maternity,j2rgCN38K5P
BENUE,UKUM,Zaki-Biam City Clinic and Maternity,RL4SNIxhQBi
BENUE,USHONGO,Akerior Comprehensive Health Center,XS7oHkodgdY
BENUE,USHONGO,Atekombo Comprehensive Health Center,qHFn6eKPzZR
BENUE,USHONGO,Hegha Comprehensive Health Center,CZugrC0pZ3a
BENUE,USHONGO,Kartyo Comprehensive Health Center,oOwDebIrySs
BENUE,USHONGO,Lessel General Hospital,Ce4ACYPH1gr
BENUE,USHONGO,Mayange Primary Health Care,UdO3AJxt6D7
BENUE,USHONGO,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic -Aku,yk6RVaDElKT
BENUE,USHONGO,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center-Gbe,KNwYLS8wBMQ
BENUE,USHONGO,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center-Lessel,pVuatRaVnJu
BENUE,USHONGO,Oostra-Gum Clinic and Maternity,oVvqxfB2P4W
BENUE,USHONGO,Phesset Clinic,mHQFWXYfC6i
BENUE,USHONGO,Tseghem Comprehensive Health Center,cOc62Ku53kR
BENUE,USHONGO,Ushongo Comprehensive Health Center,AC09BTkiT9k
BENUE,USHONGO,Waapera Comprehensive Health Center,Bt9AmJKxN28
BENUE,USHONGO,Yaakar Comprehensive Health Center,cIKRpGcM5yd
BENUE,VANDEIKYA,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital-Mbaakon,fNNUQiVT6x3
BENUE,VANDEIKYA,Sev-Av Foundation-Vandeikya,iU5WiOjaPBb
BENUE,VANDEIKYA,St. Elizabeth Hospital,DPFnexGxRAT
BENUE,VANDEIKYA,St. Paul's Clinic-Ikyaator,rl5sKUJnKn3
BENUE,VANDEIKYA,St. Paul's Clinic Sambe,Q47OYvdxPhQ
BENUE,VANDEIKYA,St. Thomas Hospital-Ihugh,r6flrs4ehWz
BENUE,VANDEIKYA,Vandeikya General Hospital,fCwe9dV4kjP
BENUE,VANDEIKYA,Vandeikya KP One Stop Shop -Virtual,uYCM5I1Rh34
EKITI,ADO,St. Gregory Hospital Ado-Ekiti,ftEV1iyWtuH
EKITI,ADO-EKITI,Ekiti State University Teaching Hospital,NG8ugV9Xv57
EKITI,ADO-EKITI,Okesa Ekiti Comprehensive Health Center,itv14Kob5b5
EKITI,EKITI EAST,Omuo Ekiti General Hospital,IaAbEGvnhF7
EKITI,EKITI SOUTH WEST,Ilawe Ekiti Comprehensive Health Center,iSMGSwSkbiY
EKITI,EKITI WEST,Aramoko Ekiti General Hospital,iYLBTAWo29b
EKITI,EMURE,Emure Ekiti General Hospital,oEgdXZ6hqwZ
EKITI,IDO-OSI,Federal Medical Center Ido Ekiti,tvMCpBfPpNr
EKITI,IDO-OSI,Ifaki Ekiti General Hospital,FjUk8l3lLuT
EKITI,IJERO,Ijero Ekiti State Specialist Hospital,iwKXh9EaNPG
EKITI,IKERE,Ikere Ekiti State Specialist Hospital,H9w6ZU7BCh5
EKITI,IKOLE,Ikole-Ekiti State Hospital,ClLtOoKCTAz
EKITI,ILEJEMEJE,Iye Ekiti General Hospital,m0MGjVaytWB
EKITI,IREPODUN/IFELODUN,Iyin Ekiti General Hospital,bxXIciySrPz
